feature,rf_importance,chi2_score,chi2_p_value,rfe_selected,k_best_selected,selection_score
cp,0.15959455884148724,26.2564228672575,2.9895887783664385e-07,True,True,3
thalach,0.13177041328830263,7.68028057222114,0.005582748748093108,True,True,3
exang,0.08030601018829937,109.61182614829721,1.1918734967716884e-25,True,True,3
thal,0.03973763670165237,53.90988972686917,2.0989852128821757e-13,True,True,3
sex,0.036622358406196105,18.318201669579587,1.8691277096130557e-05,True,True,3
ca,0.023535734278906192,14.478626857528477,0.0001417588888562044,True,True,3
chol,0.149047777626262,4.752464670651969,0.02925636208607759,True,False,2
age,0.11744786570773795,5.2188907183587245,0.022342798988096775,True,False,2
oldpeak,0.10553811789176831,4.538426491834391,0.03314204363560377,True,False,2
slope,0.02570505007100675,6.089700384653994,0.013597214241819167,False,True,2
fbs,0.01835111509356662,9.133271828896572,0.002510024399379899,False,True,2
trestbps,0.08197580855816827,0.12155448806350515,0.7273545993464025,False,False,0
restecg,0.030367553346646273,1.9181745739831597,0.16605803391371082,False,False,0
