,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
age,0.3490893784757811,0.19630882230116078,0.155540754917845,0.36857038026107897,-0.37334086220221924,0.19909167666369734,0.06951007415543475,0.024674954400019652,0.30881499915622257,-0.037286983385866765,0.19293420593791277
sex,0.20820829450682632,-0.2269877566641154,-0.19975176451983723,0.2903078312354301,0.5894792433961425,-0.21210946904641542,0.0634149353897596,-0.3431972287988746,0.408999488758836,-0.31095089075320387,-0.020306361244380525
cp,0.37030456155299574,-0.1580669984987272,-0.21431440501333687,-0.11398546962308012,-0.07961533130789514,-0.007004450385617568,-0.5820282936207131,0.0054061039356649715,-0.1075086552279746,0.05195964696527845,-0.5881749910813683
trestbps,0.19565853119604482,0.20475221542710487,0.4145571541361329,0.0690155135587583,-0.2008593194582385,-0.6989265677019872,0.24360038667896,-0.12018769972756517,-0.0954498425200401,-0.05775893792159185,-0.3408799143521944
chol,-0.10350977226740044,0.3973703747148434,0.2889259986593504,-0.42828004648014195,0.2125808478870504,-0.05324556134930132,-0.3119961040702719,0.09760669597666521,0.09638547847019233,-0.5399434607852329,0.14755902127280093
fbs,0.12545793955300985,0.24323140948065805,0.33954827096907725,0.4526760876739167,0.4243932724815578,0.02510686025708944,-0.3648485064911209,0.3552803222499121,-0.04535267678970968,0.3381919706147348,0.05449589977236577
restecg,0.12913000258833213,0.4530676406221605,-0.07628461287829527,0.14532716408340557,0.034521913459374054,0.2819626156462566,-0.05932372364007825,-0.6777557902376087,-0.4344958321109103,-0.04356875732337326,0.03825724941095346
thalach,-0.38392516737881066,0.2896920815061574,-0.12226320200046853,-0.15407870813788038,0.29590147383566634,-0.16302333601560276,0.058359367704631085,-0.12366052092946311,0.03180833952357354,0.4299838061779726,-0.1633422295029645
exang,0.4138248276813875,-0.1271779808866649,-0.0031930426111216395,-0.3420536371652988,-0.015529597619714008,-0.20755765600792808,-0.24564347621033011,-0.09378430305760778,-0.07848731312555525,0.09618583265674377,0.48728044391386827
oldpeak,0.371084605283895,0.11290931142606399,0.07570064955257536,-0.41204992978502725,0.11906628054878707,0.08121509687833763,0.22980420932529128,-0.12857284012196363,0.3317839628496724,0.49137952391932493,0.04724130520518514
slope,0.23618463831587133,-0.2247555517589137,0.3992248999041599,-0.1783723591875543,0.3240876021119271,0.41971430901547213,0.3799695092003591,0.10687309902621184,-0.28907844062723265,-0.14215060875511348,-0.27159543618744325
ca,0.16635954483556287,0.48134593696034705,-0.3479340710807541,-0.09128159217846718,-0.049765576885517165,0.18055704220509422,0.13383174023225286,0.2582897430491508,0.3244694787799418,-0.16647343018236244,-0.3015619521748259
thal,0.27647363294105703,0.16013280752409795,-0.4608684104581518,0.04457437725000524,0.17455861373293863,-0.24257510157772405,0.28324765898790794,0.3915029605929394,-0.45874923754389557,-0.06753158599491205,0.20724303344525175
